Engine_Speed,Fuel_Flow,Intake_Manifold_Pressure,Coolant_Temp,Ambient_Temp,Engine_Performance
2485,11.21,1.21,83,31,136.3
1092,30.82,2.09,104,23,173.94
1324,42.94,2.95,87,34,232.7
1624,47.5,1.29,89,10,183.66
616,44.72,2.43,99,37,201.03
1704,31.87,2.47,87,20,214.6
1009,37.33,1.66,82,29,152.02
1776,48.35,1.48,97,29,193.08
1436,12.6,1.07,96,31,97.28
1260,31.5,2.94,109,26,225.25
658,38.12,1.82,83,24,156.58
2112,46.13,2.4,80,21,244.39
1670,10.77,1.7,82,24,131.75
2079,39.97,2.45,109,22,223.56
892,28.88,2.27,89,36,178.5
2941,28.34,2.01,107,11,207.2
1461,26.36,1.83,90,30,172.91
1902,16.25,2.67,96,35,205.47
2948,15.27,1.92,70,36,186.33
700,40.53,1.79,100,10,172.94
1772,48.13,2.26,79,12,218.55
612,40.64,1.3,71,26,146.58
1769,14.27,1.85,106,18,152.97
665,48.89,1.97,78,21,185.74
2491,14.63,1.59,70,23,146.75
1106,25.15,2.45,73,22,185.82
1842,33.56,2.65,81,38,215.94
2983,21.31,1.15,74,24,155.19
1876,14.29,2.41,93,15,193.64
2415,27.11,1.0,91,28,141.93
1487,46.96,1.14,77,17,153.93
2015,11.25,1.0,98,10,113.01
1988,33.12,2.54,80,13,226.95
922,21.3,2.59,87,11,190.86
1165,10.68,1.8,101,18,134.89
1931,17.16,2.65,78,10,201.46
1979,40.19,1.32,110,31,166.62
1834,16.49,1.91,72,38,148.26
1796,25.82,2.54,98,40,209.01
842,32.56,2.28,99,34,184.29
2074,16.43,1.32,110,37,136.7
1869,16.2,1.61,96,29,153.77
613,49.84,2.03,93,18,197.92
1916,24.32,3.0,85,33,233.77
2804,31.87,2.92,75,19,259.91
1398,35.54,1.25,97,25,151.87
2665,19.25,2.29,86,16,193.24
2996,42.83,2.55,85,32,252.31
2247,43.24,2.11,100,35,218.86
1034,34.24,2.99,81,30,227.96
2394,35.23,2.05,93,15,214.34
2455,41.56,2.13,110,19,218.85
2747,10.25,1.19,83,26,136.92
992,38.41,2.52,73,11,209.61
1771,14.54,1.73,93,23,144.42
2918,29.61,1.38,71,10,177.99
1212,35.96,1.17,108,29,133.92
1289,10.94,2.12,109,21,157.69
2978,35.58,1.89,81,10,222.6
764,36.85,2.93,99,31,223.53
2082,16.2,1.76,106,40,158.42
1270,24.35,2.39,97,10,192.79
2289,47.31,1.94,97,35,225.06
2898,17.27,1.09,104,31,145.1
1593,12.12,1.41,103,21,122.15
2629,11.08,2.87,104,39,219.88
1407,38.45,2.53,84,19,212.04
711,30.86,2.18,98,11,173.72
2253,30.51,2.8,83,29,236.53
2381,10.07,1.9,109,32,153.48
2888,42.96,1.83,95,25,222.85
2295,38.37,2.94,110,20,249.59
623,32.78,2.83,86,27,197.08
1945,48.26,2.99,70,40,254.5
625,31.71,2.78,86,34,193.11
1367,41.72,1.78,83,10,188.96
2983,34.46,1.72,82,17,204.82
2882,36.28,2.22,96,16,230.36
674,16.17,1.14,78,17,89.83
789,23.55,1.54,97,27,127.44
1091,28.95,2.01,88,17,171.75
1779,47.06,2.76,73,28,239.91
1010,35.16,1.92,102,24,173.81
2864,19.0,1.07,95,14,155.29
1668,11.33,1.42,106,12,131.16
1896,34.34,1.88,86,35,183.13
1537,41.67,1.73,86,12,176.64
2335,19.05,2.55,90,38,211.26
1363,22.97,1.62,107,24,152.39
692,13.49,1.93,94,16,131.2
2301,26.85,2.88,104,28,241.51
2841,26.51,2.07,103,37,194.61
1543,15.35,1.93,101,23,165.93
1133,31.94,1.2,109,11,134.77
2940,28.01,1.05,97,11,156.56
2391,21.18,2.16,110,30,194.99
2987,14.01,2.7,81,38,213.72
2033,20.86,1.82,92,34,165.53
2278,36.88,1.53,91,34,175.47
722,12.07,1.45,98,16,115.76
1391,32.44,1.17,72,21,132.49
752,43.41,2.45,79,31,202.9
749,27.23,2.52,100,40,193.11
2162,12.52,1.16,101,24,133.14
2114,32.69,2.23,100,16,214.84
1396,20.91,2.61,105,12,190.67
685,12.19,1.78,73,35,124.88
967,32.92,2.36,86,29,195.1
2600,30.51,2.5,101,14,239.39
2561,47.85,1.78,81,22,211.65
764,32.3,1.42,75,26,134.17
682,11.02,2.31,87,34,147.0
2868,31.83,2.66,89,12,237.62
2952,30.04,1.42,101,35,170.9
2674,18.82,1.3,71,32,151.72
2335,19.96,1.96,73,21,180.93
934,23.04,1.63,101,16,135.26
2684,35.39,1.46,87,31,183.15
2318,15.35,2.71,105,24,216.41
632,37.15,1.64,73,28,146.74
2330,42.99,1.52,74,18,199.52
917,35.68,2.78,107,22,210.53
2156,49.2,2.92,93,36,264.48
2823,19.34,2.59,97,35,213.88
607,25.44,2.18,84,10,170.32
946,41.34,2.61,90,15,209.08
1981,26.26,1.05,74,35,122.49
2961,21.46,2.44,101,37,220.26
1174,46.65,1.45,108,33,177.05
1148,36.89,2.12,73,26,191.85
1652,22.06,2.77,101,38,211.12
1673,49.87,2.42,79,17,225.8
1789,24.12,1.48,91,18,141.34
1472,31.05,1.46,95,28,156.11
2346,27.58,2.02,72,25,181.97
1133,13.74,1.83,110,25,133.73
1753,24.97,1.34,80,32,149.08
1041,30.97,1.57,83,21,152.78
2655,14.17,2.22,102,19,197.21
2063,43.48,1.86,74,32,200.34
2714,40.67,1.59,86,23,203.04
1698,25.96,2.32,98,19,198.1
2567,18.56,2.08,98,31,179.68
1341,16.41,2.14,70,23,169.26
2860,47.65,1.83,107,22,225.66
1794,14.91,1.69,72,35,141.51
2363,38.9,1.02,86,28,156.89
2216,16.39,1.07,110,23,138.67
875,15.59,2.61,83,29,171.35
2681,21.62,1.82,73,20,183.4
2152,37.66,2.56,77,24,225.27
1042,36.34,2.01,85,25,188.68
2155,42.0,1.49,86,16,183.51
1252,33.18,2.66,94,36,204.31
1758,47.21,2.83,85,16,262.04
1100,30.34,2.6,85,35,206.97
772,40.7,1.09,100,23,127.21
2169,43.18,2.17,97,20,213.62
1936,28.88,1.87,73,12,175.18
1960,35.61,1.79,96,21,182.19
1525,43.84,1.94,88,20,195.24
2267,22.43,1.66,76,11,164.15
2371,13.89,1.7,75,19,163.44
816,10.73,2.49,104,34,161.43
691,17.07,1.96,76,22,138.36
2039,13.76,2.2,88,12,174.42
2240,15.92,1.63,97,17,166.31
2999,10.58,1.42,77,18,150.15
2839,43.97,2.03,86,22,232.56
2174,25.04,2.01,75,23,176.01
2660,16.19,2.37,70,14,200.79
2718,33.12,2.55,103,20,234.42
1761,20.28,1.51,100,12,156.19
2526,38.11,1.18,84,37,174.69
1134,25.28,2.5,107,26,196.29
2957,32.65,2.69,89,33,249.93
2830,45.53,2.35,100,12,245.23
2344,25.64,2.31,91,31,200.74
1887,36.78,1.93,85,14,187.54
1481,15.06,1.83,103,15,148.53
1242,47.17,1.66,80,15,176.91
2944,46.85,1.47,83,24,197.41
1342,32.5,2.46,94,34,201.8
2892,41.16,1.73,72,15,213.33
2458,40.16,2.19,74,25,221.56
1646,16.71,1.84,72,20,155.79
2226,19.86,1.53,81,22,161.05
1962,27.06,1.64,86,33,163.59
959,43.04,1.4,93,29,154.78
2749,48.66,2.69,86,17,263.16
1163,37.97,2.08,89,16,198.37
2226,43.93,2.77,90,36,251.79
1996,38.28,1.35,95,35,163.13
2547,42.4,1.22,81,14,178.81
1686,35.92,2.0,108,10,191.36
1840,32.2,2.34,107,14,207.81
1488,43.75,2.77,85,10,236.97
2241,45.66,1.07,100,19,179.31
2766,19.14,1.15,89,39,136.01
2583,42.82,1.11,70,32,169.2
1891,18.68,2.94,103,38,223.38
1128,26.95,2.43,92,38,176.67
2899,20.32,2.9,79,23,244.84
2537,46.74,1.57,95,15,197.99
1383,15.87,1.33,74,10,114.03
2113,37.63,2.79,75,30,237.73
2673,11.21,2.06,86,38,183.69
1155,39.89,1.35,73,25,158.86
1008,39.92,2.91,110,21,240.48
764,47.38,1.9,74,14,192.75
2718,21.17,1.05,99,24,151.47
1090,49.45,2.28,101,10,215.22
1539,48.35,2.04,87,19,205.97
706,42.7,1.06,83,29,135.47
2171,28.91,2.62,89,13,223.27
626,10.6,2.18,83,28,131.43
1493,43.79,1.77,109,32,183.01
2145,21.74,2.25,108,40,183.07
1660,45.62,1.97,95,24,210.26
1456,45.11,2.16,79,32,204.42
745,25.74,1.63,87,32,129.45
2813,18.18,2.17,102,15,200.3
2775,49.59,1.54,101,38,210.31
1644,22.72,2.61,106,25,211.12
1899,19.54,2.58,76,11,202.38
1545,24.23,1.88,87,37,168.46
987,13.43,1.39,98,12,117.15
2349,45.04,2.18,78,23,231.54
954,25.17,2.97,84,33,201.26
2850,40.28,1.47,81,37,186.03
850,42.34,1.23,109,40,153.02
934,38.35,2.1,77,34,190.63
2111,21.01,1.07,89,17,136.19
1759,11.31,2.22,73,28,157.03
1745,38.98,1.06,82,36,138.89
1849,11.54,1.5,107,27,124.71
1213,18.63,1.76,95,18,136.66
2865,13.3,2.41,76,26,201.26
2936,19.37,1.9,92,11,186.73
2628,36.08,2.75,95,19,240.45
1990,31.16,2.16,94,19,204.07
1724,24.69,1.01,75,38,115.48
2414,35.9,2.16,82,37,213.92
1717,30.47,3.0,70,20,232.15
1198,16.9,1.03,97,19,108.11
1163,40.77,1.3,101,12,148.46
2115,39.27,1.67,84,30,182.41
2108,18.03,2.87,100,37,209.55
2566,23.76,1.56,80,40,163.14
1369,19.02,1.35,106,13,133.18
1461,38.23,2.92,102,10,238.35
2921,32.93,2.5,92,21,246.68
1897,37.19,1.6,74,12,185.94
2612,19.81,2.84,105,34,232.06
2475,26.8,2.05,80,24,200.56
2855,32.19,1.94,86,20,210.45
2645,18.42,1.87,108,30,170.54
1778,30.95,1.44,98,15,167.3
1860,14.06,2.6,77,15,186.87
1856,49.9,2.6,76,16,250.93
2549,44.39,1.76,106,22,206.28
1420,16.87,1.67,99,34,134.85
1914,45.18,1.55,97,37,195.13
2122,45.25,1.37,96,15,191.78
1680,41.32,2.29,91,32,211.48
2222,28.04,1.6,107,11,179.76
1390,13.2,2.15,87,19,165.02
2620,46.14,1.63,72,30,213.01
1828,28.29,2.5,109,13,204.54
2295,26.83,2.69,86,35,231.49
1254,30.16,2.21,96,31,194.39
2603,31.68,1.6,94,20,186.1
1692,13.68,1.6,103,19,149.41
2865,41.85,2.73,105,35,267.42
2714,48.4,1.1,107,40,178.69
1297,45.09,2.97,108,36,237.54
1999,11.72,1.61,105,14,147.25
1366,15.09,1.44,73,26,126.53
1391,38.67,1.63,100,40,163.94
958,26.57,2.36,99,39,174.51
2861,40.18,1.49,72,28,190.82
1350,29.55,1.74,91,21,171.86
1836,37.15,1.84,104,16,187.74
2127,39.48,1.53,76,35,187.72
1367,25.3,1.24,105,26,130.86
1307,41.31,2.63,99,13,236.81
899,13.99,1.43,107,36,114.61
1167,42.08,1.6,104,28,177.23
2738,39.47,1.99,80,14,211.54
2947,16.74,1.8,80,26,168.02
852,49.06,2.42,74,17,224.88
1057,40.85,1.56,97,24,156.52
1562,49.5,1.34,101,33,182.73
946,27.41,2.46,90,15,185.86
1358,49.84,1.78,94,17,201.24
2343,17.72,1.08,106,17,140.03
1544,10.72,2.05,73,21,158.2
1444,34.62,1.31,70,14,148.52
1060,29.76,1.19,94,31,128.46
1797,18.33,2.58,97,26,204.69
1507,18.22,1.93,109,14,155.41
2844,14.42,2.05,91,12,177.97
613,49.59,2.54,99,31,219.71
1955,28.71,1.6,71,29,170.36
695,42.03,2.94,76,39,214.17
1613,42.49,2.3,76,38,206.7
2268,37.8,2.1,95,10,211.86
1549,45.5,2.37,93,13,227.32
971,30.52,1.2,97,11,139.07
2073,34.58,1.77,92,40,180.63
1174,14.03,1.35,108,33,106.85
1770,20.57,2.92,93,24,207.82
1472,39.56,2.76,83,17,240.06
2004,44.08,2.83,76,33,245.4
1179,16.22,2.82,91,19,194.33
1095,33.01,1.49,106,28,152.19
2845,46.41,2.52,84,30,246.52
2616,33.38,1.48,71,25,176.97
2810,44.03,1.04,79,25,180.61
2242,34.99,1.34,81,23,164.54
972,40.77,1.11,105,29,132.91
2723,47.29,1.73,70,14,218.9
1840,34.96,2.06,95,19,207.34
2987,27.74,1.63,106,23,198.37
1385,25.43,2.52,100,12,192.16
839,19.72,2.84,95,17,192.84
2259,29.38,2.88,102,12,248.55
2469,10.16,1.98,71,22,167.13
1206,13.63,2.55,101,40,173.2
2466,48.85,1.19,95,23,184.3
722,46.76,2.31,83,33,209.89
1012,11.1,2.96,105,23,198.9
1596,43.87,2.66,95,34,226.91
1280,44.49,1.67,108,32,181.51
2886,19.13,2.1,94,16,191.96
2929,15.74,2.44,76,38,194.65
2773,11.08,1.35,104,17,151.22
2814,29.42,2.12,95,14,208.75
2177,18.58,1.99,78,23,182.07
1835,40.33,2.01,86,22,200.44
2352,35.85,1.21,109,24,172.87
1687,24.54,2.28,92,20,196.13
1245,42.04,1.8,77,34,184.97
935,42.25,2.18,71,22,190.53
1505,37.21,2.07,79,19,185.02
1604,32.32,2.96,92,26,232.34
1286,20.96,2.97,98,13,211.66
2402,48.83,2.87,79,39,255.08
1435,49.84,1.89,79,27,190.54
2312,22.01,1.58,90,34,163.51
2463,26.84,1.52,84,29,170.4
2326,12.26,2.04,87,28,167.42
854,33.93,1.22,87,16,128.33
1181,39.62,2.48,85,15,206.01
1690,46.54,1.83,110,30,198.27
1577,21.45,2.49,79,20,185.82
2603,21.29,1.4,80,24,156.83
2751,46.93,2.64,73,36,261.13
1564,15.2,1.43,109,33,127.76
1094,40.12,2.44,100,40,206.52
2448,18.36,1.6,110,35,152.99
1114,44.7,1.5,84,33,174.84
2100,12.35,2.6,102,20,195.71
2454,15.55,2.43,109,13,197.65
2282,25.47,2.25,82,28,191.77
966,46.1,2.37,109,22,203.92
1743,24.83,1.24,93,29,145.93
2201,33.05,1.65,90,40,186.49
2316,43.89,2.3,81,12,228.77
2549,30.89,2.26,104,25,221.3
708,28.72,2.68,89,39,184.15
2060,27.36,2.75,80,13,228.74
803,32.56,1.48,75,14,142.87
2869,17.0,1.97,83,40,172.37
1817,10.95,2.08,77,32,148.13
2456,25.04,1.57,109,23,174.45
1849,18.03,2.6,109,37,205.3
1036,24.34,2.96,70,35,203.79
1357,11.69,1.66,80,35,135.35
2353,44.1,2.63,73,33,240.87
1105,17.54,2.57,100,30,183.98
2017,44.76,1.9,92,31,210.88
873,47.18,1.33,80,22,157.46
840,19.21,1.02,93,34,90.86
2253,39.76,1.23,79,10,164.14
1051,47.95,2.86,79,27,247.77
2430,39.65,2.34,91,34,237.08
2436,41.11,2.91,75,18,261.38
1936,42.96,1.05,104,30,164.1
757,43.48,2.15,74,15,202.06
1564,30.77,1.07,101,20,144.11
636,26.55,2.86,88,29,198.64
907,25.9,1.5,88,26,127.32
781,39.9,1.2,109,31,145.31
821,23.62,1.33,101,16,131.12
1869,44.37,1.51,81,38,184.62
2419,46.9,2.71,97,14,259.01
2209,44.75,1.21,80,31,165.3
1940,18.92,2.34,105,32,197.23
1865,32.77,1.48,93,30,172.35
976,21.38,2.67,106,19,192.29
1235,31.83,1.28,86,15,134.46
1589,18.14,2.52,79,31,195.28
1110,43.65,2.39,77,11,208.58
1077,29.02,2.06,82,18,178.85
920,27.87,1.41,77,37,139.55
763,39.44,1.39,82,10,145.15
609,26.09,1.23,81,33,114.1
1383,33.17,1.87,96,35,180.89
2862,12.48,2.58,84,21,204.99
2739,14.02,1.16,71,37,134.69
1404,42.83,2.07,82,25,204.3
1319,23.62,1.22,93,10,130.44
1906,12.5,1.08,74,13,111.2
2293,26.61,2.91,91,20,229.52
887,44.15,2.55,89,21,211.83
1342,14.71,2.03,103,17,160.7
1737,18.51,2.26,80,27,177.48
1126,45.01,1.14,97,38,157.32
877,22.93,2.46,92,14,187.04
1997,40.22,2.29,95,12,224.56
2919,47.57,2.39,96,33,251.44
754,15.25,1.22,103,31,98.81
1693,36.48,2.95,98,31,244.89
1466,12.84,1.9,102,39,150.15
2057,44.73,2.55,96,40,236.57
1671,31.92,1.36,85,25,150.75
1600,19.72,1.16,74,28,122.92
2026,29.17,1.02,80,35,137.05
2881,28.29,2.63,95,21,243.28
2567,46.68,1.21,79,32,189.98
1514,24.97,1.04,71,13,126.08
1961,10.01,2.28,109,12,174.47
1816,39.19,2.29,87,16,220.15
2184,25.45,2.92,93,34,237.26
1981,19.01,1.66,78,27,157.22
2332,35.21,1.66,99,32,184.3
738,20.89,2.16,103,14,171.54
1701,45.13,2.64,96,17,243.23
907,15.09,1.12,80,16,107.43
2051,38.1,1.08,84,24,152.49
2372,37.92,2.66,104,39,236.84
2425,42.93,1.92,105,15,223.16
2378,21.44,2.8,99,26,229.06
2554,28.87,1.88,81,19,189.18
2722,41.37,2.38,86,30,244.69
2438,25.34,1.08,102,27,150.01
2101,20.89,2.58,86,20,206.07
2677,23.25,1.42,103,38,154.25
690,26.79,1.6,105,16,144.7
2573,28.72,1.85,86,22,186.34
1125,29.72,2.51,89,34,194.13
922,11.97,2.04,110,16,144.0
2861,30.31,1.11,85,32,163.39
2436,49.99,2.58,86,17,258.2
1787,14.17,1.4,107,31,127.84
2031,39.89,2.8,71,18,237.58
977,41.33,2.88,70,38,222.89
1339,19.68,1.69,98,26,154.12
2348,41.66,2.77,75,24,254.15
2891,48.82,1.04,79,33,189.13
939,41.02,2.25,105,28,188.29
761,25.95,1.81,82,19,143.86
2244,25.22,2.71,86,18,221.12
618,38.0,1.21,87,31,136.09
1546,37.75,2.74,70,26,228.97
2597,22.86,1.61,72,23,177.03
1090,38.71,1.32,88,36,137.73
2362,33.75,1.15,85,36,153.3
1698,10.01,2.82,107,39,190.58
2105,23.61,2.43,78,22,211.67
994,45.09,2.01,80,34,199.17
1341,28.47,1.97,85,31,163.6
1658,32.61,2.55,90,21,208.0
2011,47.35,1.16,91,23,165.6
892,14.33,2.9,81,33,185.16
1919,11.54,2.39,106,29,181.29
1254,21.92,1.28,101,30,131.46
2276,45.69,1.66,103,16,200.55
2760,42.86,2.01,75,30,223.96
1839,36.82,2.16,87,37,194.02
1847,44.7,2.31,100,37,229.23
2062,29.73,2.69,80,21,223.39
927,35.19,2.09,89,10,191.76
1836,21.42,1.71,109,27,154.7
646,45.05,1.54,70,19,163.15
612,10.57,1.49,88,18,108.53
701,11.07,1.96,91,14,137.41
631,48.25,2.9,74,36,227.88
1199,34.88,1.84,99,28,180.08
814,42.29,1.89,89,17,183.68
1984,45.71,2.53,76,23,245.99
941,11.86,2.95,82,25,186.12
2887,35.69,2.76,107,20,262.48
2062,24.03,2.44,88,28,204.01
612,28.99,2.44,108,11,182.14
1202,39.13,2.52,95,28,208.55
1357,32.08,2.45,74,27,199.94
1917,41.29,1.39,70,11,169.71
1781,39.96,2.79,107,11,250.39
1505,33.23,1.65,82,37,163.81
2085,22.81,2.37,90,26,199.83
1429,11.04,2.26,105,19,167.15
1693,31.91,2.56,89,16,221.23
1997,21.5,1.68,71,34,152.97
1527,25.11,2.84,80,23,213.38
791,12.05,2.82,102,10,173.93
2003,39.81,1.33,93,23,171.98
2422,20.18,2.31,87,13,201.93
1810,37.91,1.41,97,27,166.45
2800,42.39,2.24,88,38,239.47
1669,16.46,1.69,85,26,139.68
2613,22.71,1.23,102,26,142.97
1721,25.72,2.12,71,24,189.03
2452,40.28,2.3,85,30,231.28
2801,12.63,2.11,105,15,192.91
1013,46.89,1.21,74,13,158.03
2624,17.42,1.17,102,19,153.01
2710,24.16,2.53,99,21,229.11
1114,21.44,1.78,70,17,138.07
1264,32.38,2.74,80,11,216.31
2225,36.46,1.08,103,37,149.23
642,28.11,1.32,89,26,131.65
1554,39.57,2.72,73,35,217.86
2634,19.97,2.34,108,28,212.93
1694,41.29,1.56,73,25,182.14
1020,29.14,2.95,108,22,216.6
1395,30.47,1.4,88,16,155.69
1542,47.8,2.09,109,22,206.66
2418,47.3,1.66,103,30,197.29
2959,23.55,1.84,80,13,183.69
612,17.72,2.68,79,31,165.23
1555,39.69,1.42,88,26,156.66
1886,23.78,2.22,88,29,188.6
2977,14.37,1.94,108,34,177.09
1702,14.17,2.15,80,35,170.6
2544,36.69,2.12,101,26,222.9
2424,19.81,1.42,90,31,146.28
2133,16.09,2.01,83,11,183.31
2570,16.06,2.15,80,35,192.56
1005,40.73,2.1,100,36,194.99
2409,12.94,2.1,72,30,165.92
1636,45.88,2.32,77,39,225.06
1878,38.01,2.22,107,32,214.07
1175,27.51,1.43,109,14,146.61
2128,22.31,2.53,99,33,196.11
600,23.82,1.09,97,26,115.21
2775,16.14,1.64,103,35,173.69
1743,32.88,2.85,91,23,239.12
2201,14.7,2.55,85,33,197.18
752,21.87,1.93,101,11,153.14
2736,10.32,2.99,110,19,221.94
1402,43.31,1.79,103,14,182.36
2185,13.71,2.01,103,23,175.39
1131,10.73,1.47,89,33,108.67
1898,31.51,1.42,106,30,169.73
624,48.75,1.67,107,39,174.23
2859,42.03,2.6,104,15,258.27
1688,40.77,1.52,70,13,182.35
2837,33.44,2.52,87,15,240.93
1064,31.42,2.29,73,31,189.02
2305,38.84,1.95,73,36,204.65
673,46.95,2.33,109,25,199.9
1551,47.98,1.14,84,26,166.63
642,34.71,1.09,88,38,117.21
2369,17.24,2.49,78,36,200.08
1010,27.39,1.55,96,18,148.35
2002,18.81,2.65,86,26,197.94
1537,20.94,1.88,107,32,157.24
1510,21.87,2.55,85,27,194.62
2565,34.9,2.33,102,38,219.9
1194,20.54,1.46,101,25,133.41
1827,29.61,2.31,94,26,191.72
2972,34.8,2.55,90,24,249.81
2934,17.88,2.09,74,20,186.24
2920,43.51,2.73,106,37,269.2
1902,47.95,1.68,75,33,197.44
1319,20.09,2.68,95,12,200.92
1489,35.7,1.08,103,34,145.06
2397,33.43,1.44,76,15,171.89
729,18.8,1.12,105,25,95.18
2211,33.72,2.77,106,17,245.24
1966,14.66,1.43,91,33,140.74
1706,15.83,1.0,86,32,115.07
2234,47.53,1.06,76,19,181.73
1394,39.14,1.7,91,33,172.33
1386,41.46,2.4,78,20,205.71
2434,41.48,2.59,94,17,245.69
1114,45.54,1.23,95,27,159.52
1667,14.29,2.98,70,40,194.87
792,28.53,2.06,77,35,161.39
2194,43.19,2.56,100,22,241.74
2950,13.37,1.43,85,23,164.0
2507,24.18,2.17,102,24,198.15
2241,20.38,1.96,107,20,189.94
1032,17.49,2.83,92,26,196.12
1153,33.75,1.64,110,28,161.29
1233,39.3,1.46,83,33,161.51
849,28.84,2.42,76,37,176.57
1225,40.03,1.01,105,40,134.99
1015,46.58,2.83,110,25,243.24
789,11.61,2.7,108,32,163.54
1864,31.98,1.14,100,29,148.57
2020,17.31,1.21,99,37,133.93
1723,33.81,2.97,90,18,244.19
822,12.71,1.08,83,11,99.95
1637,17.46,2.54,84,23,189.35
1506,43.15,2.27,82,11,216.31
1406,31.55,2.35,98,24,204.15
3000,24.71,2.59,75,38,226.03
2826,44.66,2.45,77,26,252.13
2947,34.31,2.5,73,15,230.11
1121,14.04,1.13,83,32,100.92
2367,17.4,2.3,82,34,181.48
1033,33.38,1.17,80,37,130.14
1912,18.3,1.03,101,19,115.87
1538,40.88,2.64,101,31,223.76
1857,21.23,1.82,86,27,169.96
2750,41.33,1.81,101,40,203.75
1686,29.98,1.1,107,27,142.25
1757,45.77,2.38,103,12,222.33
2859,46.89,1.34,82,32,200.19
1896,13.57,1.49,84,28,139.6
2149,29.72,1.39,70,37,151.35
2713,16.18,2.43,78,14,200.83
910,31.46,1.26,104,39,134.99
1052,34.4,2.21,74,39,192.53
1355,23.07,1.3,71,35,117.56
1420,12.45,1.1,76,16,102.76
1777,30.03,1.09,76,13,141.72
1577,11.27,1.62,99,29,127.4
2608,12.9,1.81,100,35,166.82
1404,17.77,1.36,108,24,131.84
2303,41.81,2.34,97,37,223.1
1611,26.77,1.43,71,13,141.53
880,46.61,1.31,108,27,154.56
2108,42.56,1.89,92,21,202.75
1385,29.98,2.32,90,39,182.68
720,44.57,2.01,76,27,179.26
1503,24.09,2.98,101,32,212.42
1845,40.89,2.19,108,28,206.03
2023,32.65,1.11,75,11,152.36
752,23.38,1.38,92,26,113.67
1392,44.87,2.29,81,10,207.41
1684,30.85,1.8,78,30,168.7
1886,45.74,2.02,83,38,198.75
1864,24.24,2.68,84,38,208.25
2431,17.95,2.76,78,15,219.91
1723,40.93,2.85,85,27,232.15
2341,10.74,2.03,71,32,155.8
1229,12.82,2.49,90,37,164.85
2355,27.43,2.2,83,20,203.03
2758,12.91,2.68,77,40,204.27
2484,28.43,2.66,109,31,235.91
2327,17.86,2.5,87,13,203.95
845,32.6,2.31,72,27,178.82
823,38.08,2.01,70,12,187.3
2517,23.6,2.12,75,19,197.25
1423,34.24,1.75,78,25,171.75
906,48.56,2.77,81,35,233.63
2210,27.13,1.74,92,25,174.76
1699,40.54,1.83,75,25,189.71
1138,38.0,2.21,91,31,201.14
893,11.51,2.75,109,32,177.94
1115,45.97,2.65,90,22,233.12
2789,13.5,2.46,107,37,192.78
2319,21.4,1.06,107,35,141.21
1939,34.37,1.84,75,19,180.22
1297,23.21,1.33,91,23,127.85
2996,31.45,2.94,74,14,262.67
2050,35.24,1.35,108,34,173.9
1527,19.85,1.43,91,32,128.62
2122,38.51,2.26,94,23,226.33
2521,27.94,1.79,105,22,191.68
2728,11.67,2.19,83,30,192.1
1758,32.36,1.75,102,26,175.86
794,37.68,2.11,89,29,179.91
2142,48.43,2.49,107,22,245.06
2796,21.77,2.83,100,22,238.67
2061,20.44,1.81,106,33,160.98
1518,15.24,1.24,95,14,116.62
2273,24.57,1.65,71,33,162.36
1205,44.98,2.44,104,22,222.66
2163,14.19,1.77,78,23,158.54
1839,30.83,1.95,102,21,184.51
1576,10.8,1.91,77,21,150.51
2411,47.91,2.19,93,24,227.88
2483,37.09,2.33,83,13,220.89
2816,27.43,1.18,70,30,149.8
2459,20.82,1.3,82,11,156.51
1096,18.77,2.22,90,35,161.5
1033,29.29,1.17,104,37,117.33
2800,30.48,2.26,86,15,220.73
2274,26.06,1.15,79,38,134.11
967,27.64,2.8,78,36,200.88
1243,16.06,2.44,78,18,171.35
1255,30.83,2.56,86,18,196.86
607,39.03,1.29,83,21,131.14
1826,24.51,1.15,91,15,143.53
1453,47.08,2.96,93,19,252.47
976,45.65,1.79,94,31,181.12
2319,17.15,1.5,75,35,154.74
1902,14.4,2.26,73,28,164.93
2846,42.14,2.21,98,33,228.77
1310,21.93,1.42,89,35,140.11
990,48.72,2.72,81,29,241.04
1919,37.16,2.84,75,23,238.99
1747,15.82,2.76,87,16,194.57
989,19.68,2.87,73,11,205.06
1793,46.4,1.45,74,10,175.39
639,21.1,2.98,94,31,193.91
1701,23.48,2.95,87,20,212.09
681,22.97,1.92,109,14,158.01
1694,18.28,1.76,80,37,158.65
1061,39.46,1.37,90,20,149.87
1409,43.8,2.97,70,14,245.29
665,30.15,2.33,101,26,188.65
1355,12.97,1.52,89,15,128.24
2069,45.1,2.58,98,40,231.09
740,15.11,2.65,96,13,171.17
1835,29.44,2.81,73,30,217.84
974,37.52,2.7,81,32,212.33
1668,28.55,2.04,103,39,187.96
1226,11.06,1.52,74,16,125.22
1216,23.59,1.92,104,22,154.32
2484,38.95,2.68,82,23,235.95
2473,15.75,1.05,76,18,122.3
2367,28.03,2.69,101,28,231.1
2967,42.45,1.06,90,26,183.57
1630,13.32,2.37,109,26,172.82
1895,36.99,1.34,95,20,157.19
646,36.62,2.25,80,11,192.74
1677,38.84,1.45,97,14,170.62
2523,14.47,2.67,82,15,213.78
1265,25.2,2.15,84,32,162.87
2270,12.19,2.13,110,10,174.19
1393,22.28,1.63,81,39,148.17
949,34.48,2.29,81,17,191.5
2858,39.56,1.22,88,33,179.2
1540,37.36,1.56,105,18,166.55
